Date,Time,Defect Rate
8/29/2024,00:57.3,13%
8/29/2024,00:56.3,10%
8/29/2024,00:55.4,14%
8/29/2024,00:54.6,8%
8/29/2024,00:52.7,7%
8/29/2024,00:51.8,13%
8/29/2024,00:50.9,15%
8/29/2024,00:50.0,14%
8/29/2024,00:49.1,5%
8/29/2024,00:48.2,9%
8/29/2024,00:47.2,8%
8/29/2024,00:46.3,14%
8/29/2024,00:45.4,11%
8/29/2024,00:44.5,13%
8/29/2024,00:43.6,13%
8/29/2024,00:42.7,9%
8/29/2024,00:41.8,15%
8/29/2024,00:33.4,8%
8/29/2024,00:32.4,10%
8/29/2024,00:31.5,14%
8/29/2024,00:30.8,14%
8/29/2024,00:29.7,10%
8/29/2024,00:28.8,14%
8/29/2024,00:27.9,12%
8/29/2024,00:27.0,8%
8/29/2024,00:26.2,13%
8/29/2024,00:25.1,7%
8/29/2024,00:23.3,6%
8/29/2024,00:22.4,10%
8/29/2024,00:21.5,8%
8/29/2024,00:20.8,14%
8/29/2024,00:19.7,10%
8/29/2024,00:18.8,14%
8/29/2024,00:17.9,9%
8/29/2024,00:16.9,8%
8/29/2024,00:16.0,7%
8/29/2024,00:15.1,8%
8/29/2024,00:14.2,11%
8/29/2024,00:13.3,13%
8/29/2024,00:12.4,10%
8/29/2024,00:11.6,15%
8/29/2024,00:10.6,15%
8/29/2024,00:09.7,14%
8/29/2024,00:08.7,9%
8/29/2024,00:07.8,6%
8/29/2024,00:07.1,9%
8/29/2024,00:06.0,13%
8/29/2024,00:05.1,5%
8/29/2024,00:04.2,6%
8/29/2024,00:03.3,7%
8/29/2024,00:02.4,7%
8/29/2024,00:01.5,6%
8/29/2024,00:00.5,6%
8/29/2024,59:59.6,13%
8/29/2024,59:58.7,8%
8/29/2024,59:57.8,5%
8/29/2024,59:56.9,13%
8/29/2024,59:56.0,6%
8/29/2024,59:55.1,5%
8/29/2024,59:54.1,5%
8/29/2024,59:53.2,10%
8/29/2024,59:52.4,8%
8/29/2024,59:51.4,9%
8/29/2024,59:50.5,10%
8/29/2024,59:49.6,10%
8/29/2024,59:48.7,14%
8/29/2024,59:47.8,9%
8/29/2024,59:46.9,9%
8/29/2024,59:46.0,7%
8/29/2024,59:45.1,9%
8/29/2024,59:44.1,14%
8/29/2024,59:43.2,13%
8/29/2024,59:42.3,15%
8/29/2024,59:41.4,5%
8/29/2024,59:40.5,8%
8/29/2024,59:39.6,11%
8/29/2024,59:38.7,11%
8/29/2024,59:37.8,12%
8/29/2024,59:36.9,12%
8/29/2024,59:35.9,15%
8/29/2024,59:35.0,13%
8/29/2024,59:34.1,7%
8/29/2024,59:33.2,14%
8/29/2024,59:32.3,15%
8/29/2024,59:31.4,8%
8/29/2024,59:30.5,15%
8/29/2024,59:29.5,14%
8/29/2024,59:28.6,14%
8/29/2024,59:27.7,10%
8/29/2024,59:26.8,8%
8/29/2024,59:25.9,12%
8/29/2024,59:25.0,11%
8/29/2024,59:24.1,12%
8/29/2024,59:23.2,15%
8/29/2024,59:22.3,7%
8/29/2024,59:21.4,14%
8/29/2024,59:20.4,9%
8/29/2024,59:19.5,15%
8/29/2024,59:18.6,7%
8/29/2024,59:17.7,9%
8/29/2024,59:16.8,6%
8/29/2024,59:15.9,9%
8/29/2024,59:15.0,7%
8/29/2024,59:14.1,8%
8/29/2024,59:13.1,5%
8/29/2024,59:12.2,6%
8/29/2024,59:11.3,9%
8/29/2024,59:10.4,12%
8/29/2024,59:09.5,15%
8/29/2024,59:08.6,6%
8/29/2024,59:07.7,12%
8/29/2024,59:06.8,15%
8/29/2024,59:05.9,12%
8/29/2024,59:05.0,14%
8/29/2024,59:04.1,8%
8/29/2024,59:03.1,13%
8/29/2024,59:02.2,15%
8/29/2024,59:01.3,10%
8/29/2024,59:00.4,14%
8/29/2024,58:59.5,9%
8/29/2024,58:58.6,8%
8/29/2024,58:57.6,10%
8/29/2024,58:56.7,7%
8/29/2024,58:55.8,8%
8/29/2024,58:54.9,12%
8/29/2024,58:54.0,8%
8/29/2024,58:53.1,11%
8/29/2024,58:52.2,9%
8/29/2024,58:51.3,9%
8/29/2024,58:50.4,8%
8/29/2024,58:49.4,14%
8/29/2024,58:48.5,6%
8/29/2024,58:47.6,5%
8/29/2024,58:46.7,13%
8/29/2024,58:45.8,9%
8/29/2024,58:44.9,11%
8/29/2024,58:44.0,15%
8/29/2024,58:43.1,12%
8/29/2024,58:42.2,6%
8/29/2024,58:41.3,7%
8/29/2024,58:40.4,11%
8/29/2024,58:39.4,8%
8/29/2024,58:38.5,12%
8/29/2024,58:37.6,5%
8/29/2024,58:36.7,14%
8/29/2024,58:36.0,8%
8/29/2024,58:34.9,13%
8/29/2024,58:34.0,5%
8/29/2024,58:33.0,15%
8/29/2024,58:32.1,15%
8/29/2024,58:31.2,5%
8/29/2024,58:30.3,11%
8/29/2024,58:29.4,6%
8/29/2024,58:28.5,10%
8/29/2024,58:27.6,14%
8/29/2024,58:26.7,14%
8/29/2024,58:25.7,9%
8/29/2024,58:24.8,6%
8/29/2024,58:23.9,12%
8/29/2024,58:23.0,5%
8/29/2024,58:22.3,15%
8/29/2024,58:21.2,5%
8/29/2024,58:20.3,8%
8/29/2024,58:19.4,9%
8/29/2024,58:18.5,9%
8/29/2024,58:17.6,7%
8/29/2024,58:16.6,8%
8/29/2024,58:15.8,8%
8/29/2024,58:14.8,14%
8/29/2024,58:13.9,6%
8/29/2024,58:13.0,8%
8/29/2024,58:12.1,13%
8/29/2024,58:11.2,8%
