DateTime,month,year,hour,Minutes,Seconds,Defect_Rate
2024-08-29 00:23:02.700,8,2024,0,23.0,2.7,0.1
2024-08-29 00:23:03.600,8,2024,0,23.0,3.6,0.06
2024-08-29 00:23:04.500,8,2024,0,23.0,4.5,0.12
2024-08-29 00:23:05.400,8,2024,0,23.0,5.4,0.15
2024-08-29 00:23:06.300,8,2024,0,23.0,6.3,0.1
2024-08-29 00:23:07.200,8,2024,0,23.0,7.2,0.12
2024-08-29 00:23:08.200,8,2024,0,23.0,8.2,0.05
2024-08-29 00:23:09.100,8,2024,0,23.0,9.1,0.1
2024-08-29 00:23:10.000,8,2024,0,23.0,10.0,0.08
2024-08-29 00:23:10.900,8,2024,0,23.0,10.9,0.15
2024-08-29 00:23:12.000,8,2024,0,23.0,12.0,0.13
2024-08-29 00:23:12.700,8,2024,0,23.0,12.7,0.07
2024-08-29 00:23:13.600,8,2024,0,23.0,13.6,0.14
2024-08-29 00:23:14.500,8,2024,0,23.0,14.5,0.1
2024-08-29 00:23:15.400,8,2024,0,23.0,15.4,0.06
2024-08-29 00:23:16.400,8,2024,0,23.0,16.4,0.07
2024-08-29 00:23:17.300,8,2024,0,23.0,17.3,0.13
2024-08-29 00:23:18.200,8,2024,0,23.0,18.2,0.14
2024-08-29 00:23:19.100,8,2024,0,23.0,19.1,0.13
2024-08-29 00:23:20.000,8,2024,0,23.0,20.0,0.13
2024-08-29 00:23:20.900,8,2024,0,23.0,20.9,0.14
2024-08-29 00:23:21.800,8,2024,0,23.0,21.8,0.09
2024-08-29 00:23:22.700,8,2024,0,23.0,22.7,0.05
2024-08-29 00:23:23.800,8,2024,0,23.0,23.8,0.09
2024-08-29 00:23:24.600,8,2024,0,23.0,24.6,0.13
2024-08-29 00:23:25.500,8,2024,0,23.0,25.5,0.05
2024-08-29 00:23:26.400,8,2024,0,23.0,26.4,0.08
2024-08-29 00:23:27.300,8,2024,0,23.0,27.3,0.14
2024-08-29 00:23:28.200,8,2024,0,23.0,28.2,0.06
2024-08-29 00:23:29.300,8,2024,0,23.0,29.3,0.1
2024-08-29 00:23:30.000,8,2024,0,23.0,30.0,0.05
2024-08-29 00:23:30.900,8,2024,0,23.0,30.9,0.11
2024-08-29 00:23:31.900,8,2024,0,23.0,31.9,0.12
2024-08-29 00:23:32.800,8,2024,0,23.0,32.8,0.13
2024-08-29 00:23:33.700,8,2024,0,23.0,33.7,0.1
2024-08-29 00:23:34.600,8,2024,0,23.0,34.6,0.13
2024-08-29 00:23:35.500,8,2024,0,23.0,35.5,0.13
2024-08-29 00:23:36.400,8,2024,0,23.0,36.4,0.07
2024-08-29 00:23:37.300,8,2024,0,23.0,37.3,0.11
2024-08-29 00:23:38.200,8,2024,0,23.0,38.2,0.07
2024-08-29 00:23:39.100,8,2024,0,23.0,39.1,0.12
2024-08-29 00:23:40.100,8,2024,0,23.0,40.1,0.09
2024-08-29 00:23:41.000,8,2024,0,23.0,41.0,0.07
2024-08-29 00:23:41.900,8,2024,0,23.0,41.9,0.11
2024-08-29 00:23:42.800,8,2024,0,23.0,42.8,0.12
2024-08-29 00:23:43.700,8,2024,0,23.0,43.7,0.1
2024-08-29 00:23:44.600,8,2024,0,23.0,44.6,0.07
2024-08-29 00:23:45.500,8,2024,0,23.0,45.5,0.13
2024-08-29 00:23:46.400,8,2024,0,23.0,46.4,0.07
2024-08-29 00:23:47.400,8,2024,0,23.0,47.4,0.08
2024-08-29 00:23:48.300,8,2024,0,23.0,48.3,0.1
2024-08-29 00:23:49.200,8,2024,0,23.0,49.2,0.07
2024-08-29 00:23:50.300,8,2024,0,23.0,50.3,0.06
2024-08-29 00:23:51.000,8,2024,0,23.0,51.0,0.13
2024-08-29 00:23:52.100,8,2024,0,23.0,52.1,0.12
2024-08-29 00:23:52.800,8,2024,0,23.0,52.8,0.07
2024-08-29 00:23:53.900,8,2024,0,23.0,53.9,0.09
2024-08-29 00:23:54.700,8,2024,0,23.0,54.7,0.09
2024-08-29 00:23:55.600,8,2024,0,23.0,55.6,0.09
2024-08-29 00:23:56.500,8,2024,0,23.0,56.5,0.09
2024-08-29 00:23:57.400,8,2024,0,23.0,57.4,0.06
2024-08-29 00:23:58.300,8,2024,0,23.0,58.3,0.08
2024-08-29 00:23:59.200,8,2024,0,23.0,59.2,0.14
2024-08-29 00:24:00.100,8,2024,0,24.0,0.1,0.08
2024-08-29 00:24:01.100,8,2024,0,24.0,1.1,0.11
2024-08-29 00:24:01.900,8,2024,0,24.0,1.9,0.05
2024-08-29 00:24:02.800,8,2024,0,24.0,2.8,0.06
2024-08-29 00:24:03.800,8,2024,0,24.0,3.8,0.07
2024-08-29 00:24:04.700,8,2024,0,24.0,4.7,0.06
2024-08-29 00:24:05.600,8,2024,0,24.0,5.6,0.08
2024-08-29 00:24:06.500,8,2024,0,24.0,6.5,0.14
2024-08-29 00:24:07.400,8,2024,0,24.0,7.4,0.05
2024-08-29 00:24:08.300,8,2024,0,24.0,8.3,0.08
2024-08-29 00:24:09.200,8,2024,0,24.0,9.2,0.12
2024-08-29 00:24:10.100,8,2024,0,24.0,10.1,0.13
2024-08-29 00:24:11.100,8,2024,0,24.0,11.1,0.13
2024-08-29 00:24:12.000,8,2024,0,24.0,12.0,0.09
2024-08-29 00:24:12.900,8,2024,0,24.0,12.9,0.1
2024-08-29 00:24:13.800,8,2024,0,24.0,13.8,0.1
2024-08-29 00:24:14.900,8,2024,0,24.0,14.9,0.13
2024-08-29 00:24:15.600,8,2024,0,24.0,15.6,0.14
2024-08-29 00:24:16.500,8,2024,0,24.0,16.5,0.08
2024-08-29 00:24:17.400,8,2024,0,24.0,17.4,0.12
2024-08-29 00:24:18.300,8,2024,0,24.0,18.3,0.1
2024-08-29 00:24:19.200,8,2024,0,24.0,19.2,0.09
2024-08-29 00:24:20.200,8,2024,0,24.0,20.2,0.11
2024-08-29 00:24:21.100,8,2024,0,24.0,21.1,0.06
2024-08-29 00:24:22.000,8,2024,0,24.0,22.0,0.09
2024-08-29 00:24:22.900,8,2024,0,24.0,22.9,0.07
2024-08-29 00:24:23.800,8,2024,0,24.0,23.8,0.05
2024-08-29 00:24:24.700,8,2024,0,24.0,24.7,0.15
2024-08-29 00:24:25.600,8,2024,0,24.0,25.6,0.15
2024-08-29 00:24:26.600,8,2024,0,24.0,26.6,0.05
2024-08-29 00:24:27.500,8,2024,0,24.0,27.5,0.1
2024-08-29 00:24:28.400,8,2024,0,24.0,28.4,0.09
2024-08-29 00:24:29.300,8,2024,0,24.0,29.3,0.12
2024-08-29 00:24:30.200,8,2024,0,24.0,30.2,0.08
2024-08-29 00:24:31.100,8,2024,0,24.0,31.1,0.07
2024-08-29 00:24:32.000,8,2024,0,24.0,32.0,0.08
2024-08-29 00:24:32.900,8,2024,0,24.0,32.9,0.07
2024-08-29 00:24:33.800,8,2024,0,24.0,33.8,0.07
2024-08-29 00:24:35.000,8,2024,0,24.0,35.0,0.12
2024-08-29 00:24:35.700,8,2024,0,24.0,35.7,0.1
2024-08-29 00:24:36.600,8,2024,0,24.0,36.6,0.11
2024-08-29 00:24:37.500,8,2024,0,24.0,37.5,0.13
2024-08-29 00:24:38.400,8,2024,0,24.0,38.4,0.11
2024-08-29 00:24:39.300,8,2024,0,24.0,39.3,0.05
2024-08-29 00:24:40.200,8,2024,0,24.0,40.2,0.07
2024-08-29 00:24:41.100,8,2024,0,24.0,41.1,0.14
2024-08-29 00:24:42.100,8,2024,0,24.0,42.1,0.08
2024-08-29 00:24:42.900,8,2024,0,24.0,42.9,0.11
2024-08-29 00:24:43.900,8,2024,0,24.0,43.9,0.05
2024-08-29 00:24:44.800,8,2024,0,24.0,44.8,0.1
2024-08-29 00:24:45.700,8,2024,0,24.0,45.7,0.11
2024-08-29 00:24:46.700,8,2024,0,24.0,46.7,0.13
2024-08-29 00:24:47.500,8,2024,0,24.0,47.5,0.06
2024-08-29 00:24:48.400,8,2024,0,24.0,48.4,0.07
2024-08-29 00:24:49.400,8,2024,0,24.0,49.4,0.05
2024-08-29 00:24:50.200,8,2024,0,24.0,50.2,0.12
2024-08-29 00:24:51.300,8,2024,0,24.0,51.3,0.15
2024-08-29 00:24:52.100,8,2024,0,24.0,52.1,0.13
2024-08-29 00:24:53.200,8,2024,0,24.0,53.2,0.15
2024-08-29 00:24:53.900,8,2024,0,24.0,53.9,0.05
2024-08-29 00:24:54.800,8,2024,0,24.0,54.8,0.12
2024-08-29 00:24:55.700,8,2024,0,24.0,55.7,0.1
2024-08-29 00:24:56.600,8,2024,0,24.0,56.6,0.06
2024-08-29 00:24:57.500,8,2024,0,24.0,57.5,0.09
2024-08-29 00:24:58.500,8,2024,0,24.0,58.5,0.09
2024-08-29 00:24:59.400,8,2024,0,24.0,59.4,0.07
2024-08-29 00:25:00.300,8,2024,0,25.0,0.3,0.13
2024-08-29 00:25:01.200,8,2024,0,25.0,1.2,0.09
2024-08-29 00:25:02.100,8,2024,0,25.0,2.1,0.06
2024-08-29 00:25:03.000,8,2024,0,25.0,3.0,0.13
2024-08-29 00:25:03.900,8,2024,0,25.0,3.9,0.11
2024-08-29 00:25:04.800,8,2024,0,25.0,4.8,0.14
2024-08-29 00:25:05.700,8,2024,0,25.0,5.7,0.13
2024-08-29 00:25:06.700,8,2024,0,25.0,6.7,0.05
2024-08-29 00:25:07.600,8,2024,0,25.0,7.6,0.06
2024-08-29 00:25:08.500,8,2024,0,25.0,8.5,0.13
2024-08-29 00:25:09.400,8,2024,0,25.0,9.4,0.12
2024-08-29 00:25:10.300,8,2024,0,25.0,10.3,0.11
2024-08-29 00:25:11.200,8,2024,0,25.0,11.2,0.06
2024-08-29 00:25:12.100,8,2024,0,25.0,12.1,0.08
2024-08-29 00:25:13.000,8,2024,0,25.0,13.0,0.05
2024-08-29 00:25:13.900,8,2024,0,25.0,13.9,0.06
2024-08-29 00:25:14.800,8,2024,0,25.0,14.8,0.08
2024-08-29 00:25:15.800,8,2024,0,25.0,15.8,0.08
2024-08-29 00:25:16.700,8,2024,0,25.0,16.7,0.13
2024-08-29 00:25:17.600,8,2024,0,25.0,17.6,0.05
2024-08-29 00:25:18.500,8,2024,0,25.0,18.5,0.08
2024-08-29 00:25:19.400,8,2024,0,25.0,19.4,0.14
2024-08-29 00:25:20.400,8,2024,0,25.0,20.4,0.15
